name,code,type,cohort,subject,year,value
Mississippi,MS,state,2,reading,2019,256.380475226081
Mississippi,MS,state,2,reading,2022,252.928904243024
Missouri,MO,state,1,mathematics,2019,238.41019058942
Missouri,MO,state,1,mathematics,2022,232.379298228844
Missouri,MO,state,2,mathematics,2019,280.764001089291
Missouri,MO,state,2,mathematics,2022,272.153313847836
Missouri,MO,state,1,reading,2019,218.00163625009
Missouri,MO,state,1,reading,2022,213.355231570616
Missouri,MO,state,2,reading,2019,263.292024270598
Missouri,MO,state,2,reading,2022,257.625326475664
Montana,MT,state,1,mathematics,2019,241.113189876112
Montana,MT,state,1,mathematics,2022,238.518895520345
Montana,MT,state,2,mathematics,2019,283.959458490694
Montana,MT,state,2,mathematics,2022,277.427645069317
Montana,MT,state,1,reading,2019,221.67913092515
Montana,MT,state,1,reading,2022,218.726121279142
Montana,MT,state,2,reading,2019,264.831687514546
Montana,MT,state,2,reading,2022,261.184863122528
Nebraska,NE,state,1,mathematics,2019,243.770986026308
Nebraska,NE,state,1,mathematics,2022,241.558709889839
Nebraska,NE,state,2,mathematics,2019,285.012542020259
Nebraska,NE,state,2,mathematics,2022,279.384056562137
Nebraska,NE,state,1,reading,2019,222.362133819339
Nebraska,NE,state,1,reading,2022,218.613653639063
Nebraska,NE,state,2,reading,2019,263.989105578988
Nebraska,NE,state,2,reading,2022,259.313241223676
Nevada,NV,state,1,mathematics,2019,235.626272636424
Nevada,NV,state,1,mathematics,2022,229.348243023475
Nevada,NV,state,2,mathematics,2019,273.785362545259
Nevada,NV,state,2,mathematics,2022,269.218060945172
Nevada,NV,state,1,reading,2019,217.617561606892
Nevada,NV,state,1,reading,2022,211.525078548584
Nevada,NV,state,2,reading,2019,258.075061709817
Nevada,NV,state,2,reading,2022,258.889380790852
New Hampshire,NH,state,1,mathematics,2019,244.559196330017
New Hampshire,NH,state,1,mathematics,2022,239.394150930647
New Hampshire,NH,state,2,mathematics,2019,287.222902107093
New Hampshire,NH,state,2,mathematics,2022,278.582040087953
New Hampshire,NH,state,1,reading,2019,224.264004126578
New Hampshire,NH,state,1,reading,2022,222.537287495664
New Hampshire,NH,state,2,reading,2019,267.950506818944
New Hampshire,NH,state,2,reading,2022,263.182164385216
New Jersey,NJ,state,1,mathematics,2019,245.931598653239
New Jersey,NJ,state,1,mathematics,2022,239.230609256602
New Jersey,NJ,state,2,mathematics,2019,291.822771925628
New Jersey,NJ,state,2,mathematics,2022,280.886098306047
New Jersey,NJ,state,1,reading,2019,227.189417167925
New Jersey,NJ,state,1,reading,2022,222.728282134377
New Jersey,NJ,state,2,reading,2019,270.357938474977
New Jersey,NJ,state,2,reading,2022,269.783593975822
New Mexico,NM,state,1,mathematics,2019,231.110316729628
New Mexico,NM,state,1,mathematics,2022,221.253589461799
New Mexico,NM,state,2,mathematics,2019,268.765610592655
New Mexico,NM,state,2,mathematics,2022,258.983453539708
New Mexico,NM,state,1,reading,2019,207.564688511317
New Mexico,NM,state,1,reading,2022,202.080998079384
New Mexico,NM,state,2,reading,2019,251.699591686589
New Mexico,NM,state,2,reading,2022,247.798592786218
